earningsYear,earningsSex,earnings
2000,male,3518
2000,female,2530
2001,male,3606
2001,female,2588
2002,male,3632
2002,female,2617
2003,male,3698
2003,female,2662
2004,male,3825
2004,female,2773
2005,male,3962
2005,female,2865
2006,male,4081
2006,female,2966
2007,male,4335
2007,female,3148
2008,male,4560
2008,female,3332
2009,male,4436
2009,female,3247
2010,male,4686
2010,female,3434
2011,male,4964
2011,female,3650
2012,male,5080
2012,female,3735
2013,male,5291
2013,female,3909
2014,male,5412
2014,female,4006
2015,male,5584
2015,female,4172
2016,male,5774
2016,female,4353
2017,male,5935
2017,female,4509
2018,male,6118
2018,female,4693
2019,male,6266
2019,female,4827
2020,male,6308
2020,female,4942
2021,male,6473
2021,female,5137