year,sex,earnings
2000,male1,3518
2000,female11,2530
2001,male1,3606
2001,female11,2588
2002,male1,3632
2002,female11,2617
2003,male1,3698
2003,female11,2662
2004,male1,3825
2004,female11,2773
2005,male1,3962
2005,female11,2865
2006,male1,4081
2006,female11,2966
2007,male1,4335
2007,female11,3148
2008,male1,4560
2008,female11,3332
2009,male1,4436
2009,female11,3247
2010,male1,4686
2010,female11,3434
2011,male1,4964
2011,female11,3650
2012,male1,5080
2012,female11,3735
2013,male1,5291
2013,female11,3909
2014,male1,5412
2014,female11,4006
2015,male1,5584
2015,female11,4172
2016,male1,5774
2016,female11,4353
2017,male1,5935
2017,female11,4509
2018,male1,6118
2018,female11,4693
2019,male1,6266
2019,female11,4827
2020,male1,6308
2020,female11,4942
2021,male1,6473
2021,female11,5137