year,female,qualification,male
2021,362700,Below Secondary,281200
2020,433400,Below Secondary,324400
2019,426500,Below Secondary,319200
2018,441500,Below Secondary,320000
2017,464700,Below Secondary,349000
2016,469900,Below Secondary,349400
2015,454900,Below Secondary,345100
2014,468700,Below Secondary,363400
2013,472700,Below Secondary,360600
2012,480100,Below Secondary,368000
2011,491000,Below Secondary,378900
2010,499600,Below Secondary,388600
2009,518900,Below Secondary,409700
2008,497600,Below Secondary,401400
2007,538700,Below Secondary,448900
2006,543900,Below Secondary,449800
2005,524400,Below Secondary,413300
2004,551400,Below Secondary,453500
2003,554300,Below Secondary,461600
2002,547300,Below Secondary,457600
2001,545900,Below Secondary,451200
2000,517300,Below Secondary,422300
2021,281300,Secondary,211200
2020,269300,Secondary,215000
2019,282800,Secondary,220900
2018,285600,Secondary,225500
2017,271900,Secondary,216900
2016,281800,Secondary,218600
2015,291800,Secondary,227400
2014,285500,Secondary,217000
2013,280600,Secondary,220700
2012,281900,Secondary,217900
2011,285100,Secondary,225900
2010,268300,Secondary,222400
2009,304800,Secondary,261700
2008,307700,Secondary,248200
2007,297800,Secondary,237700
2006,291600,Secondary,238200
2005,256800,Secondary,230900
2004,270900,Secondary,232400
2003,281900,Secondary,234400
2002,287500,Secondary,240800
2001,276300,Secondary,235400
2000,255900,Secondary,240900
2021,130000,Post Secondary (Non-Tertiary),151300
2020,138800,Post Secondary (Non-Tertiary),158100
2019,122400,Post Secondary (Non-Tertiary),143600
2018,117600,Post Secondary (Non-Tertiary),143100
2017,118200,Post Secondary (Non-Tertiary),135400
2016,110600,Post Secondary (Non-Tertiary),139300
2015,113200,Post Secondary (Non-Tertiary),137300
2014,107800,Post Secondary (Non-Tertiary),130200
2013,104700,Post Secondary (Non-Tertiary),127700
2012,107300,Post Secondary (Non-Tertiary),132100
2011,102900,Post Secondary (Non-Tertiary),127500
2010,112600,Post Secondary (Non-Tertiary),132200
2009,72800,Post Secondary (Non-Tertiary),71400
2008,71600,Post Secondary (Non-Tertiary),87600
2007,75300,Post Secondary (Non-Tertiary),79300
2006,74000,Post Secondary (Non-Tertiary),78100
2005,102800,Post Secondary (Non-Tertiary),107900
2004,73400,Post Secondary (Non-Tertiary),72800
2003,72800,Post Secondary (Non-Tertiary),73800
2002,70600,Post Secondary (Non-Tertiary),74900
2001,67700,Post Secondary (Non-Tertiary),71700
2000,91800,Post Secondary (Non-Tertiary),93600
2021,239000,Diploma & Professional Qualification,247100
2020,226700,Diploma & Professional Qualification,230000
2019,225700,Diploma & Professional Qualification,235500
2018,215400,Diploma & Professional Qualification,219500
2017,207300,Diploma & Professional Qualification,208500
2016,199700,Diploma & Professional Qualification,211800
2015,200200,Diploma & Professional Qualification,205300
2014,198200,Diploma & Professional Qualification,203600
2013,183400,Diploma & Professional Qualification,189200
2012,177300,Diploma & Professional Qualification,187400
2011,166100,Diploma & Professional Qualification,186100
2010,165100,Diploma & Professional Qualification,177300
2009,149100,Diploma & Professional Qualification,165800
2008,140500,Diploma & Professional Qualification,154500
2007,131500,Diploma & Professional Qualification,147200
2006,122400,Diploma & Professional Qualification,138700
2005,126400,Diploma & Professional Qualification,141400
2004,106900,Diploma & Professional Qualification,124300
2003,99300,Diploma & Professional Qualification,117200
2002,86100,Diploma & Professional Qualification,110500
2001,84500,Diploma & Professional Qualification,105200
2000,91200,Diploma & Professional Qualification,111100
2021,534200,University,540100
2020,496600,University,485400
2019,470500,University,475700
2018,440400,University,468400
2017,420500,University,453400
2016,398700,University,415500
2015,374800,University,401000
2014,362400,University,395700
2013,350000,University,379700
2012,320700,University,353700
2011,307300,University,331300
2010,288100,University,321900
2009,266400,University,302400
2008,246300,University,285900
2007,226300,University,265700
2006,212700,University,259300
2005,180500,University,224200
2004,172800,University,224000
2003,158600,University,209100
2002,140000,University,183500
2001,121200,University,167700
2000,105100,University,144800